RowIndex,EncryptTimeTotal,AdditionTime,DecryptionTime,PlaintextSize,CiphertextSize,ExpansionRatio,InitialNoise,NoiseAfterAddition
0,1.0013580322265625e-05,5.4836273193359375e-06,0.0005991458892822266,184,184,1.0,8.1089932,32.4359728
1,3.337860107421875e-06,2.6226043701171875e-06,2.384185791015625e-06,184,184,1.0,7.6569441,30.6277764
2,2.384185791015625e-06,1.6689300537109375e-06,1.430511474609375e-06,184,184,1.0,7.3947839,29.5791356
3,1.6689300537109375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,7.0280057000000005,28.112022800000002
4,1.9073486328125e-06,1.430511474609375e-06,1.430511474609375e-06,184,184,1.0,7.1604625,28.64185
5,1.6689300537109375e-06,1.1920928955078125e-06,1.430511474609375e-06,184,184,1.0,7.1689004999999995,28.675601999999998
6,2.1457672119140625e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.383847900000001,33.535391600000004
7,1.6689300537109375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.7651105,35.060442
8,1.6689300537109375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,8.805783400000001,35.223133600000004
9,1.9073486328125e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.5457014,34.1828056
10,2.1457672119140625e-06,1.430511474609375e-06,2.86102294921875e-06,184,184,1.0,8.7231259,34.8925036
11,4.291534423828125e-06,2.384185791015625e-06,1.9073486328125e-06,184,184,1.0,8.5751717,34.3006868
12,4.0531158447265625e-06,1.6689300537109375e-06,1.6689300537109375e-06,184,184,1.0,8.0873768,32.3495072
13,1.9073486328125e-06,1.1920928955078125e-06,1.6689300537109375e-06,184,184,1.0,8.1892426,32.7569704
14,2.1457672119140625e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.2665386,33.0661544
15,1.9073486328125e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,8.1222799,32.4891196
16,1.430511474609375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,7.7489553,30.9958212
17,1.9073486328125e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.348301000000001,33.393204000000004
18,1.6689300537109375e-06,1.1920928955078125e-06,1.430511474609375e-06,184,184,1.0,6.8801321,27.5205284
19,1.6689300537109375e-06,1.430511474609375e-06,9.5367431640625e-07,184,184,1.0,8.226573,32.906292
20,1.6689300537109375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.469876900000001,33.879507600000004
21,1.6689300537109375e-06,7.152557373046875e-07,1.430511474609375e-06,184,184,1.0,8.470673399999999,33.882693599999996
22,1.6689300537109375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.5934937,34.3739748
23,1.9073486328125e-06,1.430511474609375e-06,9.5367431640625e-07,184,184,1.0,8.6599463,34.6397852
24,1.430511474609375e-06,1.430511474609375e-06,1.1920928955078125e-06,184,184,1.0,8.5648186,34.2592744
25,1.430511474609375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,7.5720214,30.2880856
26,1.6689300537109375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,8.3383491,33.3533964
27,1.6689300537109375e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,7.6459417,30.5837668
28,1.430511474609375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,8.475406900000001,33.901627600000005
29,1.9073486328125e-06,1.1920928955078125e-06,1.430511474609375e-06,184,184,1.0,8.321034500000001,33.284138000000006
30,1.6689300537109375e-06,1.1920928955078125e-06,1.6689300537109375e-06,184,184,1.0,8.2862481,33.1449924
31,1.1920928955078125e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.4204972,33.6819888
32,1.430511474609375e-06,1.430511474609375e-06,1.1920928955078125e-06,184,184,1.0,6.9431598999999995,27.772639599999998
33,2.384185791015625e-06,1.6689300537109375e-06,1.9073486328125e-06,184,184,1.0,8.2343792,32.9375168
34,1.9073486328125e-06,1.1920928955078125e-06,1.430511474609375e-06,184,184,1.0,7.176966200000001,28.707864800000003
35,1.430511474609375e-06,1.430511474609375e-06,1.1920928955078125e-06,184,184,1.0,7.9379647,31.7518588
36,1.5735626220703125e-05,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.6934534,30.7738136
37,2.1457672119140625e-06,1.430511474609375e-06,1.430511474609375e-06,184,184,1.0,7.6669334,30.6677336
38,1.9073486328125e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.5340735,30.136294
39,1.5020370483398438e-05,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,7.8545173,31.4180692
40,1.430511474609375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,7.775366900000001,31.101467600000003
41,1.9073486328125e-06,1.430511474609375e-06,1.1920928955078125e-06,184,184,1.0,6.6702634000000005,26.681053600000002
42,1.6689300537109375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,6.690694,26.762776
43,1.6689300537109375e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,6.8174926,27.2699704
44,1.430511474609375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,7.1211059,28.4844236
45,1.6689300537109375e-06,7.152557373046875e-07,1.1920928955078125e-06,184,184,1.0,7.131218199999999,28.524872799999997
46,1.430511474609375e-06,1.1920928955078125e-06,1.430511474609375e-06,184,184,1.0,7.1668275999999995,28.667310399999998
47,1.6689300537109375e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,7.7024667,30.8098668
48,1.6689300537109375e-06,1.430511474609375e-06,9.5367431640625e-07,184,184,1.0,7.957908699999999,31.831634799999996
49,1.6689300537109375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.4826747000000005,29.930698800000002
50,1.6689300537109375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,7.5845543,30.3382172
51,1.6689300537109375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.7025207,30.8100828
52,1.430511474609375e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,7.275383,29.101532
53,1.6689300537109375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,7.3047151,29.2188604
54,1.6689300537109375e-06,1.430511474609375e-06,9.5367431640625e-07,184,184,1.0,10.450313,41.801252
55,1.6689300537109375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.7912171,31.1648684
56,1.430511474609375e-06,7.152557373046875e-07,1.1920928955078125e-06,184,184,1.0,8.724111500000001,34.896446000000005
57,1.6689300537109375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,8.3033612,33.2134448
58,1.430511474609375e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,7.8313725000000005,31.325490000000002
59,1.430511474609375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.0856528,32.3426112
60,1.9073486328125e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.2985872,33.1943488
61,1.430511474609375e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,8.4115921,33.6463684
62,1.430511474609375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.2750477,33.1001908
63,1.9073486328125e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,8.056324,32.225296
64,1.9073486328125e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.3403251,29.3613004
65,1.6689300537109375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.7317534,34.9270136
66,1.6689300537109375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,8.9155029,35.6620116
67,3.5762786865234375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,8.2502289,33.0009156
68,1.430511474609375e-06,1.1920928955078125e-06,1.430511474609375e-06,184,184,1.0,8.4589654,33.8358616
69,1.1920928955078125e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,8.3808016,33.5232064
70,1.430511474609375e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,7.482655600000001,29.930622400000004
71,1.6689300537109375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.551500600000001,30.206002400000003
72,1.430511474609375e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,7.5509694000000005,30.203877600000002
73,1.430511474609375e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,7.4206069,29.6824276
74,1.6689300537109375e-06,1.430511474609375e-06,1.1920928955078125e-06,184,184,1.0,8.5327046,34.1308184
75,1.9073486328125e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.8302072,35.3208288
76,1.430511474609375e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,9.0552973,36.2211892
77,1.430511474609375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.8831457,35.5325828
78,1.430511474609375e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,8.9870956,35.9483824
79,1.430511474609375e-06,1.430511474609375e-06,9.5367431640625e-07,184,184,1.0,8.8718747,35.4874988
80,1.9073486328125e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.8214483,31.2857932
81,1.6689300537109375e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,8.1960032,32.7840128
82,1.1920928955078125e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,7.8184529,31.2738116
83,1.430511474609375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.9073921,31.6295684
84,1.430511474609375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.3917799,29.5671196
85,1.9073486328125e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.394940500000001,29.579762000000002
86,1.6689300537109375e-06,1.430511474609375e-06,1.1920928955078125e-06,184,184,1.0,7.378830800000001,29.515323200000005
87,1.9073486328125e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,7.4376910999999994,29.750764399999998
88,1.6689300537109375e-06,1.430511474609375e-06,1.1920928955078125e-06,184,184,1.0,7.928843,31.715372
89,1.6689300537109375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.6910552,30.7642208
90,1.9073486328125e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,7.7034514000000005,30.813805600000002
91,1.6689300537109375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,7.788854200000001,31.155416800000005
92,1.1920928955078125e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,8.0262393,32.1049572
93,1.9073486328125e-06,1.1920928955078125e-06,1.430511474609375e-06,184,184,1.0,7.770496499999999,31.081985999999997
94,1.430511474609375e-06,1.1920928955078125e-06,1.430511474609375e-06,184,184,1.0,8.3040094,33.2160376
95,1.430511474609375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.320072400000001,29.280289600000003
96,1.6689300537109375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.8187824,31.2751296
97,1.6689300537109375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,7.8813003,31.5252012
98,1.6689300537109375e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,7.447320700000001,29.789282800000002
99,1.9073486328125e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,7.759048000000001,31.036192000000003
100,1.9073486328125e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,9.1271346,36.5085384
101,1.430511474609375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,9.0328142,36.1312568
102,1.6689300537109375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,5.9515846,23.8063384
103,1.430511474609375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,9.2335331,36.9341324
104,1.9073486328125e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,9.227276000000002,36.909104000000006
105,1.430511474609375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,9.3429052,37.3716208
106,1.430511474609375e-06,1.430511474609375e-06,9.5367431640625e-07,184,184,1.0,9.334282,37.337128
107,1.6689300537109375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,9.1434057,36.5736228
108,1.6689300537109375e-06,1.430511474609375e-06,9.5367431640625e-07,184,184,1.0,9.3262492,37.3049968
109,1.6689300537109375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,9.259977300000001,37.039909200000004
110,1.430511474609375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,8.8895073,35.5580292
111,1.9073486328125e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,9.6320034,38.5280136
112,1.6689300537109375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,9.7880669,39.1522676
113,1.9073486328125e-06,1.1920928955078125e-06,1.430511474609375e-06,184,184,1.0,9.8460912,39.3843648
114,1.430511474609375e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,9.5839981,38.3359924
115,1.9073486328125e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,9.2378944,36.9515776
116,1.430511474609375e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,9.532346800000001,38.129387200000004
117,1.6689300537109375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,9.6268638,38.5074552
118,1.430511474609375e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,9.0193708,36.0774832
119,1.6689300537109375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,9.453019600000001,37.812078400000004
120,1.430511474609375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.1674769000000005,28.669907600000002
121,1.430511474609375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,7.1964405000000005,28.785762000000002
122,3.5762786865234375e-06,2.0265579223632812e-05,1.1920928955078125e-06,184,184,1.0,7.3239189,29.2956756
123,1.6689300537109375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,7.3600178000000005,29.440071200000002
124,2.1457672119140625e-06,1.1920928955078125e-06,1.9073486328125e-06,184,184,1.0,7.3607479,29.4429916
125,1.9073486328125e-06,1.1920928955078125e-06,1.430511474609375e-06,184,184,1.0,7.317089200000001,29.268356800000003
126,1.6689300537109375e-06,1.430511474609375e-06,1.1920928955078125e-06,184,184,1.0,7.252385500000001,29.009542000000003
127,1.9073486328125e-06,1.430511474609375e-06,1.1920928955078125e-06,184,184,1.0,9.9775445,39.910178
128,1.430511474609375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,10.0437293,40.1749172
129,1.430511474609375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,10.0315215,40.126086
130,1.430511474609375e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,10.001705600000001,40.006822400000004
131,1.1920928955078125e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,10.0136394,40.0545576
132,1.6689300537109375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,9.8878345,39.551338
133,1.6689300537109375e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,9.9245572,39.6982288
134,1.9073486328125e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,8.722631699999999,34.890526799999996
135,1.1920928955078125e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,10.035474800000001,40.141899200000005
136,1.430511474609375e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,9.8159554,39.2638216
137,1.6689300537109375e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,10.0044013,40.0176052
138,1.6689300537109375e-06,7.152557373046875e-07,1.430511474609375e-06,184,184,1.0,10.040494,40.161976
139,1.1920928955078125e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,10.0633822,40.2535288
140,1.6689300537109375e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,9.986308000000001,39.945232000000004
141,1.6689300537109375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,10.2411104,40.9644416
142,1.430511474609375e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,9.7791665,39.116666
143,1.6689300537109375e-06,1.1920928955078125e-06,1.6689300537109375e-06,184,184,1.0,9.774481999999999,39.097927999999996
144,1.9073486328125e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,9.7616964,39.0467856
145,3.814697265625e-06,1.1920928955078125e-06,1.430511474609375e-06,184,184,1.0,7.5378944,30.1515776
146,1.9073486328125e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,7.3837065,29.534826
147,1.6689300537109375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,9.6884642,38.7538568
148,1.6689300537109375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,9.3130759,37.2523036
149,1.430511474609375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,9.2120767,36.8483068
150,1.9073486328125e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,9.367476,37.469904
151,1.6689300537109375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,9.065229200000001,36.260916800000004
152,1.6689300537109375e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,8.9529978,35.8119912
153,1.6689300537109375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.2887238,33.1548952
154,1.6689300537109375e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,8.8558325,35.42333
155,1.9073486328125e-06,1.1920928955078125e-06,1.430511474609375e-06,184,184,1.0,6.4121351,25.6485404
156,1.6689300537109375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,6.5137608,26.0550432
157,1.6689300537109375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,9.183488800000001,36.733955200000004
158,1.9073486328125e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,9.1237114,36.4948456
159,3.5762786865234375e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,9.2455192,36.9820768
160,1.9073486328125e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.9022686,35.6090744
161,1.9073486328125e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,9.2076826,36.8307304
162,1.430511474609375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,9.452914700000001,37.811658800000004
163,1.430511474609375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,9.4161102,37.6644408
164,1.6689300537109375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,9.5195336,38.0781344
165,1.6689300537109375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,7.971634000000001,31.886536000000003
166,1.6689300537109375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,9.2407009,36.9628036
167,1.6689300537109375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.7193818,30.8775272
168,1.430511474609375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.578944,34.315776
169,1.1920928955078125e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.9055903,35.6223612
170,1.430511474609375e-06,1.430511474609375e-06,1.1920928955078125e-06,184,184,1.0,8.537133200000001,34.148532800000005
171,1.9073486328125e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,9.109276,36.437104
172,1.9073486328125e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,8.305572399999999,33.222289599999996
173,1.430511474609375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,8.1995408,32.7981632
174,1.430511474609375e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,8.0237537,32.0950148
175,1.430511474609375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.6129494,30.4517976
176,1.6689300537109375e-06,1.1920928955078125e-06,1.430511474609375e-06,184,184,1.0,7.823451200000001,31.293804800000004
177,1.6689300537109375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,8.071367500000001,32.285470000000004
178,1.430511474609375e-06,1.1920928955078125e-06,1.430511474609375e-06,184,184,1.0,8.0459172,32.1836688
179,1.1920928955078125e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,6.869548,27.478192
180,1.6689300537109375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,7.1373988,28.5495952
181,1.9073486328125e-06,1.1920928955078125e-06,1.430511474609375e-06,184,184,1.0,6.9410878,27.7643512
182,1.6689300537109375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,7.178346300000001,28.713385200000005
183,1.430511474609375e-06,1.52587890625e-05,9.5367431640625e-07,184,184,1.0,7.2443808,28.9775232
184,1.430511474609375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,7.2020298,28.8081192
185,1.1920928955078125e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,6.953011699999999,27.812046799999997
186,1.430511474609375e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,6.7851422,27.1405688
187,1.430511474609375e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,9.193763500000001,36.775054000000004
188,1.1920928955078125e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,8.9482549,35.7930196
189,1.9073486328125e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,9.201024,36.804096
190,1.6689300537109375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,8.8487848,35.3951392
191,1.430511474609375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,9.0556491,36.2225964
192,1.430511474609375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,9.0048144,36.0192576
193,1.1920928955078125e-06,1.1920928955078125e-06,1.430511474609375e-06,184,184,1.0,7.6627247,30.6508988
194,1.430511474609375e-06,9.5367431640625e-07,1.1920928955078125e-06,184,184,1.0,7.5764899,30.3059596
195,1.430511474609375e-06,9.5367431640625e-07,9.5367431640625e-07,184,184,1.0,7.9701921,31.8807684
196,1.430511474609375e-06,1.1920928955078125e-06,1.1920928955078125e-06,184,184,1.0,8.7524011,35.0096044
197,1.430511474609375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,8.3950666,33.5802664
198,1.430511474609375e-06,9.5367431640625e-07,1.430511474609375e-06,184,184,1.0,8.7726468,35.0905872
199,1.430511474609375e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,9.502929,38.011716
200,1.6689300537109375e-06,1.1920928955078125e-06,9.5367431640625e-07,184,184,1.0,9.3632918,37.4531672
